"43","22"
"45","22"
"47","22"
"48","22"
"4","23"
"6","24"
"7","24"
"14","24"
"19","24"
"22","24"
"30","24"
"33","24"
"40","24"
"41","24"
"49","24"
"50","24"
"6","25"
"15","25"
"7","26"
"8","26"
"22","26"
"7","27"
"8","28"
"8","29"
"17","29"
"33","29"
"8","30"
"17","30"
"8","31"
"23","31"
"11","32"
"13","32"
"14","32"
"25","32"
"37","32"
"38","32"
"41","32"
"48","32"
"12","33"
"13","34"
"29","34"
"30","34"
"32","34"
"41","34"
"49","34"
"15","35"
"15","36"
"44","36"
"50","36"
"15","37"
"19","37"
"15","38"
"18","38"
"50","38"
"15","39"
"30","39"
"35","39"
"49","39"
"50","39"
"16","40"
"18","41"
"18","42"
"21","43"
"21","44"
"24","45"
"24","46"
"29","47"
"49","47"
"30","48"
"40","48"
"30","49"
"44","49"
"37","50"
"47","50"
"48","51"
"50","52"
